,storeid,state,type,type_dummy,associates_poh_pre,associates_poh_post,open_time_pre,population_post_dummy,competition_dummy,hours_open_post_dummy,associates_poh_post_dummy,open_time_post,close_time_pre,close_time_post,hours_open_pre,hours_open_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post,24_12,24_13,24_14,26_12,26_13,26_14,28_12,28_13,28_14
275,276,CT,Standalone,1,24,24,7,406,73,14,24,7,21,21,14,14,406,73,7642,9581,9688,8680,9128,13903,10332,10957,7993,10650,10311,9053,11911,10598,9385,8840,10907,11792,8730,10822,11547,9452,10121,7637,8017,12107,8210,8634,10306,11843,12152,10447,11304,11780,11052,12150,11921,11279,10639,12271,10404,10983,9974,10153,9790,13588,11976,11568,12673,13593,18192,15090,11070,9327,10775,10665,10793,11072,12759,10542,12119,9703,11461,12222,10003,9723,9719,9595,11596,10805,10932,9610,11918,12661,13135,10000,10222,12737,10593,10496,9172,12426,10970,12408,12965,11508,13201,12226,13103,12636,11394,11074,12122,11563,13783,11102,12433,11696,16490,10729,15977,14906,16762,13570,10287,11483,11639,14489,12456,12988,14014,12795,13580,10824,14292,15338,12288,10679,12135,10930,14479,10834.87692,12190.25,12916.462987020202,13290.167773620202,13663.872560220201,13077.4790633442,13451.1838499442,13824.888636544203,13238.495139668199,13612.199926268202,13985.904712868201
276,277,IN,Strip Mall,0,24,28,7,0,0,0,0,7,21,21,14,14,37,4,9461,10687,11700,14046,12075,13317,9573,13453,13443,13731,14468,15053,11911,10518,14098,14078,11010,11969,12150,10253,13583,11152,14689,11983,11215,13392,10212,13415,13952,11979,13922,12136,12724,13479,14670,14238,14364,13940,13762,10703,11475,11686,15384,15044,12932,15769,14032,13724,12322,16407,15877,14887,11390,11526,9701,13449,11512,17979,10545,15484,12584,11677,13428,13761,10966,12011,12256,11316,13640,14969,11145,14103,13766,15492,12697,11413,10709,17318,12162,12783,15446,14073,12862,12287,12037,15800,15194,14644,16620,13786,15287,11905,14433,17390,13642,12326,16827,18958,19280,12998,13673,24395,24575,19982,10793,16226,13335,12335,14836,20251,12475,13407,11648,14234,16361,16993,13710,14374,16797,15456,13156,12923.76923,14653.33929,15641.746502220116,16015.451288820115,16389.156075420113,15802.762578544114,16176.467365144117,16550.17215174412,15963.778654868116,16337.483441468115,16711.188228068117
277,278,NY,Standalone,1,24,24,7,22,5,14,24,7,21,21,14,14,22,5,7340,6261,7640,7013,6185,7244,6170,7908,7889,6229,8574,6857,7785,8151,5903,8348,7236,8526,5973,6697,7519,6224,7174,7150,6788,8735,8157,7189,6352,8333,8230,8427,7886,7749,8346,8071,7880,6745,7525,8045,7862,8440,8121,7380,9533,7853,11186,8635,9566,12828,12112,8148,7461,6449,6944,6544,8480,9964,7952,8790,8127,7720,8208,8350,7026,7396,7959,7161,8128,8340,7009,8218,9191,7589,8035,7734,6101,9907,7172,7415,7251,7402,8659,7365,8810,8760,7710,8797,9288,8232,8889,9414,8389,7055,8630,7840,10019,9842,9108,7138,11065,10870,14803,11573,7682,8255,9339,10281,7192,8716,8045,8001,8648,9573,8329,10493,7875,7893,6949,7397,8632,7848.2,8527.928570999999,8864.210048723702,9237.914835323703,9611.619621923704,9025.226125047704,9398.930911647703,9772.635698247703,9186.242201371702,9559.946987971705,9933.651774571705
278,279,IL,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,334,65,10797,9716,11817,10943,12181,15262,10443,11319,10917,11327,11763,13354,11973,12056,11950,11744,11840,15117,10217,10004,10061,9745,12665,11728,10528,13974,9664,13284,13864,13666,12222,11851,12869,14121,12279,12355,13425,12572,12706,11973,10741,12194,14921,14099,11340,11800,19397,14460,13246,16252,19055,18131,12538,14059,10841,11984,14216,14804,10865,11689,11209,14156,14296,13313,10854,15408,13734,14740,15622,13401,11720,11337,11475,15013,15355,12840,14668,13162,12778,13039,11291,13875,15587,11668,11509,13925,12389,13674,16172,14305,14467,15033,13913,15035,16788,14646,12345,12655,19330,12107,17821,19826,24470,14171,15158,11381,14344,15215,15885,20253,12021,14516,13463,12850,14743,15377,16625,13890,16222,15891,13922,12626.95385,14518.75,15369.593396215501,15743.2981828155,16117.0029694155,15530.6094725395,15904.314259139503,16278.019045739502,15691.625548863502,16065.3303354635,16439.0351220635
279,280,WA,Standalone,1,24,24,7,13,1,14,24,7,21,21,14,14,13,1,15135,17725,16915,15434,13419,23059,13407,13994,16706,16324,15524,18650,17918,14475,18618,13898,17757,16011,13282,15279,16826,15026,13654,14202,17737,14209,16353,18600,18995,13569,18273,17208,18131,15524,17540,14184,19729,14482,20318,20466,19412,18252,19830,15410,21022,17449,20463,14866,21044,24389,22288,22391,16400,14230,18137,17974,17034,20878,19382,18177,21041,15843,21564,18797,20066,14325,14702,18654,19150,22131,17070,18577,20186,19509,19931,16154,17557,23326,19783,18365,19214,14255,16976,16088,21515,19572,16354,16075,20715,22165,19063,15973,20767,16029,15679,18796,19139,22466,22083,23087,17273,30609,31714,26227,18122,15537,20949,17467,20379,22783,20355,16171,22730,20822,22925,19005,21504,22783,17136,21451,17216,17459.92308,19617.66071,21148.85028076139,21522.55506736139,21896.25985396139,21309.86635708539,21683.57114368539,22057.27593028539,21470.882433409388,21844.587220009387,22218.292006609387
280,281,NM,Strip Mall,0,24,24,7,0,0,0,0,7,21,19,14,12,17,3,13803,13819,10893,15716,10943,16679,12034,14867,13080,12398,11727,16175,12975,13608,15719,14631,15572,16901,15581,15714,12135,10948,14048,15578,15597,16767,15613,16062,13621,13626,11389,13103,14484,13777,16950,13471,17078,17275,14908,12302,14734,17356,17257,13133,16366,14812,20211,14087,14424,18164,25941,22050,13426,16988,11176,14697,14288,20223,17108,13645,14223,14641,15667,14338,15545,12375,12887,15583,12439,14571,15769,15051,14555,12183,15942,15642,13799,14051,14321,15150,11956,15485,16538,13550,15477,15978,14556,14495,16412,15173,16872,14335,13763,13702,15779,17040,16162,16386,22182,15398,20358,23535,27120,18877,16195,17379,12408,17800,14263,16481,12748,15253,13951,12796,13984,19708,18510,18213,12827,14793,13337,15016.41538,15644.51786,16741.716946257497,17115.421732857496,17489.126519457495,16902.733022581495,17276.437809181494,17650.142595781494,17063.749098905493,17437.453885505493,17811.158672105492
281,282,NJ,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,9,17,3062,4172,3464,3901,3760,4256,3793,4871,3499,3582,4040,4719,3958,3449,3800,4876,4806,5575,3657,4541,3822,4078,4389,4501,4643,5535,4364,3500,4412,3506,4371,4593,4809,3978,3833,4823,3644,4629,4487,4479,4433,3817,4938,5180,4573,4957,5996,4490,5252,6186,5863,5674,4287,3534,4803,4249,3645,6335,4481,5369,4574,4780,4969,5317,5148,5328,4420,4349,4649,5037,4378,4292,4701,3693,4664,5033,4548,4986,5370,4821,4868,3799,4774,5482,5267,5273,5878,5039,5676,5614,4469,5141,4460,4996,6003,5095,5210,6559,6728,5996,6294,8588,8819,5418,4117,5057,5054,4253,5729,6968,5055,5194,5893,5961,5863,4722,5126,5258,4502,5574,4199,4477.338462,5254.285714,5203.955710509936,5577.660497109937,5951.365283709938,5364.971786833938,5738.676573433937,6112.381360033936,5525.987863157936,5899.692649757937,6273.397436357936
282,283,TX,Standalone,1,24,24,7,5,6,14,24,7,21,21,14,14,5,6,12051,14292,14911,15893,14777,17460,12276,15116,16346,12788,18067,16541,17259,11746,13708,17215,12836,18222,15516,11850,13516,11749,13616,15749,12452,13484,16506,16408,15802,11770,14798,18112,16485,15821,14902,14262,18249,15112,15441,16428,13211,18768,16843,13641,16563,18803,22497,15345,16576,23475,25069,17235,13414,16557,16766,17963,13887,18374,17123,16590,15141,17613,18688,18174,16359,16931,13543,13594,18704,18846,13662,13928,14503,16809,16466,16501,16175,15851,19019,18532,14466,13453,14922,19386,15943,17351,14023,16754,16162,16870,19636,20567,20454,15841,18685,20674,19219,20047,26928,17759,22531,23361,30121,25503,14705,16423,15119,20533,15126,17702,18433,15795,18604,20241,21232,20764,16964,17362,15643,18228,17094,15910.876919999999,17923.0,19271.295188501404,19644.999975101404,20018.704761701403,19432.311264825403,19806.016051425402,20179.7208380254,19593.3273411494,19967.0321277494,20340.7369143494
283,284,OH,Standalone,1,24,24,7,64,2,14,24,7,21,21,14,14,64,2,5808,7168,5875,5874,6147,6778,6336,6680,5180,7571,5949,7549,7762,6774,6417,7450,5860,6662,5623,6127,6993,6324,7042,5125,5132,8125,5826,6357,6715,6464,5843,5931,6627,7610,5840,7311,7629,8160,7650,8373,5815,6733,7094,7134,6164,8457,10199,8318,8843,10299,11370,8374,5652,5511,7057,7712,7904,8531,7953,6064,8390,8105,7951,7586,7692,6464,6467,6926,8036,8712,7518,6939,8257,6054,7027,7996,5497,8745,6721,7323,5952,6912,7276,7661,5930,6360,7079,7141,8025,7120,9034,8038,7251,8198,9305,6891,7829,9893,12227,7061,10090,11078,13140,10776,6266,6047,8517,6867,6459,9467,8689,7698,9100,9295,9067,9551,7097,7692,9003,7491,8708,7070.384615000001,7963.625,8239.319588659951,8613.02437525995,8986.72916185995,8400.33566498395,8774.040451583951,9147.745238183952,8561.35174130795,8935.056527907951,9308.76131450795
284,285,PA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,281,13,13609,16493,17874,19852,16599,22893,16374,21160,20614,18740,21935,20543,16177,19574,16408,20761,19672,22029,20372,18331,15587,19847,19727,16688,16471,16894,17482,20233,18251,16354,14877,21435,20295,15511,16294,16787,19599,18858,21971,20861,17740,16198,19159,16635,23904,19760,25104,18615,21891,32962,26723,24282,16949,16319,18522,23093,15468,25795,17241,23152,22792,18806,18914,23730,22036,18948,16685,18278,22590,24291,21086,16676,22800,18327,20378,21322,15874,25474,18829,22522,19659,20736,21139,16901,21851,17059,22624,23318,20232,24358,23730,25376,21051,19780,23137,19602,20747,21097,24222,22128,21499,30191,34167,31514,18944,18075,20784,23133,21169,27450,23291,23103,25079,23003,20743,26142,21653,25073,22801,19837,18600,19535.72308,21947.82143,23703.867357565425,24077.572144165424,24451.276930765423,23864.883433889423,24238.588220489422,24612.29300708942,24025.89951021342,24399.60429681342,24773.30908341342
285,286,NY,Strip Mall,0,24,26,7,0,0,0,0,7,21,20,14,13,60,2,11797,15354,13472,14938,15168,17229,16461,17673,18447,18840,19976,14048,14479,17101,16877,13045,13559,21505,16524,16349,14285,17502,14946,17219,16005,19233,13501,13718,19247,15611,16355,16685,17826,14637,19582,19926,17017,16753,19080,18727,14725,19528,17882,14676,16187,17463,19475,19110,21788,22861,30967,18467,15326,13939,13227,21564,19390,22078,19456,17710,15435,15535,16912,21342,18892,16326,20237,17548,18190,18867,17320,20399,15860,14664,19640,19702,18934,22807,18561,15584,20507,20212,17537,21077,18949,15531,17935,14776,16007,21065,19628,17068,17448,21534,22095,20294,16426,17318,26232,15613,22381,30800,31070,26959,20036,15705,20664,21913,21733,22338,16114,22431,16447,16527,17318,22321,21251,16370,18341,18876,18027,17302.030769999998,19455.58929,20965.35235477482,21339.05714137482,21712.761927974818,21126.368431098817,21500.073217698817,21873.778004298816,21287.384507422816,21661.089294022815,22034.794080622814
286,287,LA,Standalone,1,24,24,7,12,68,14,24,7,21,21,14,14,12,68,2550,2931,3378,4139,3533,3436,3917,3928,3838,3008,3962,4047,3818,4044,3891,3357,3119,3739,4004,4071,3978,2942,3716,2974,3364,3346,2783,3395,3277,3393,3905,3743,3930,3958,3609,3008,4259,3572,3790,3168,3257,3401,4191,3386,4206,4705,4839,3379,4156,4846,5379,5047,3945,3898,3935,3110,3632,4140,3135,4375,4021,3509,3925,4322,4515,3916,3848,4588,3252,3908,4229,3213,4379,3952,3369,3731,3441,3878,4214,3798,3351,4146,4114,4210,4588,4713,3987,4410,3188,4536,3848,3779,4499,4858,3443,4297,4338,5208,5671,4700,4330,5676,7259,5138,3292,3348,4003,4351,3917,4644,3439,3779,4191,3667,3928,5117,4292,3951,4257,4149,4857,3754.984615,4199.732143,4065.5065838221835,4439.211370422183,4812.916157022182,4226.522660146182,4600.227446746183,4973.932233346184,4387.538736470182,4761.243523070183,5134.948309670182
287,288,VA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,49,58,4229,5129,4146,4782,3893,5122,5349,3707,4129,4124,5680,5717,4320,3755,3933,4915,4676,4903,4746,4746,4431,4074,4512,3832,4883,5611,5125,4603,4300,4863,4826,5572,3882,5434,5607,5632,4257,5063,5627,5669,5230,4799,5754,5791,5534,6365,7618,4798,5787,5877,6446,6326,4549,5367,4283,5586,4189,6719,4390,4110,4939,4981,5577,5657,5524,5687,5412,5715,4621,5056,3948,4905,5051,4677,6029,4999,4708,5134,4989,5995,4475,5846,5589,4433,4577,4587,6034,5537,5188,5286,5699,5740,6165,6143,5024,6158,5508,6340,7520,5276,5398,7077,7266,7274,5118,5910,5629,4865,4380,6881,4822,6347,4960,4595,6440,5969,6496,5465,5567,5209,5251,5015.384615,5517.321429,5412.610897028097,5786.315683628096,6160.020470228097,5573.626973352097,5947.331759952098,6321.036546552097,5734.643049676097,6108.347836276096,6482.0526228760955
288,289,OH,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,22,35,8070,8132,8204,7338,8051,8365,7111,9383,8596,9582,8925,8944,7493,7070,7130,8682,8042,8014,9096,6820,8963,7545,8760,7342,7732,10547,6994,6648,8559,8573,7397,6967,7950,9631,7196,9389,7432,8796,8926,8105,10337,8924,8005,7309,10441,11391,13041,9215,10520,12609,13177,12168,7708,9821,8599,8384,7197,11122,9610,10050,7239,10581,8348,7831,10194,10568,10438,9975,10431,11739,8912,7873,7265,8225,10346,7532,8516,10443,10769,9826,9327,9322,8665,8434,8131,10821,7923,8050,10672,9481,9339,9529,8206,11217,9264,10945,11780,11149,14015,10023,11974,12138,17306,9990,9695,10904,10393,8256,10477,9769,10539,10215,9471,11296,11612,11229,10456,8659,10001,11438,10830,8774.169231,10103.55357,10539.295149105228,10912.999935705231,11286.70472230523,10700.31122542923,11074.01601202923,11447.720798629232,10861.327301753228,11235.032088353231,11608.73687495323
289,290,OH,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,225,21,10234,7965,8619,8526,7500,10898,8585,10942,10275,9806,8189,11472,9462,11384,10482,11164,9840,12908,9097,10233,11383,11312,10353,8458,9893,12321,8775,10124,11469,8158,10863,8320,10189,11687,9175,8832,10646,10024,12090,10644,8915,12540,8879,12168,12057,10706,15680,9931,12586,18317,16173,12450,8596,8454,10144,9525,8967,14349,9032,9303,10932,8940,12859,10637,9008,12661,11160,12155,12145,11864,9401,10515,8745,10793,10446,9881,10529,12307,10956,12211,9069,11390,12721,12673,11097,10661,12906,13385,10238,9496,13975,12919,13605,11379,12053,10878,10532,10614,16618,13627,10731,15955,16068,13422,8880,12082,12114,11125,12501,14832,14006,12694,12211,13914,12761,15017,10096,10812,11908,13340,9555,10514.53846,11957.66071,12621.379897320088,12995.084683920088,13368.78947052009,12782.39597364409,13156.10076024409,13529.805546844089,12943.412049968088,13317.116836568091,13690.82162316809
290,291,TX,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,112,21,10021,7427,10048,10215,7444,8887,8289,8369,9577,10227,10678,8130,9572,7465,7485,8782,11155,11289,8135,8454,8719,9522,8653,10396,10061,9396,7654,9943,7867,8745,8501,10578,10539,9130,11647,8661,10521,9629,8148,11275,10513,10908,10948,12134,10470,12419,15659,10458,10374,14733,17093,14932,8025,9679,8013,8820,7929,11328,10455,8685,8287,10781,12402,10910,8753,11353,9894,12213,9834,10402,9947,12228,8219,10521,9715,9836,11526,12034,8620,9623,10294,9675,8495,10930,12554,9070,9843,11265,9192,9402,9810,12064,9154,13237,9355,11381,13450,12145,14228,11869,11996,17027,17176,13210,8963,11710,12072,13147,11065,13752,9177,10415,12586,12409,13446,11117,12168,11907,11425,12837,10979,9937.569231,11285.03571,11876.296572865938,12250.001359465938,12623.70614606594,12037.31264918994,12411.01743578994,12784.722222389939,12198.328725513938,12572.033512113941,12945.73829871394
291,292,TX,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,45,5,10126,11079,10053,10994,11037,13070,11633,10622,11245,12067,11257,11332,9511,11145,12883,9186,10369,13589,11119,10682,9165,11411,12125,12136,9275,14182,9918,13245,12359,10080,12231,10092,12634,13117,14135,10259,13633,9555,11530,11186,13824,9926,10332,14070,12260,15325,14506,14437,12197,17836,19164,14055,12879,13585,10715,12061,10879,17480,13529,11328,11598,10662,13324,11115,10676,13425,11346,11975,10365,16164,10892,14561,13326,10017,10661,11729,10038,14057,12044,10944,14489,11096,13361,13413,15119,15478,12937,13198,11835,14673,11521,12082,13824,16066,15485,14706,12661,13463,17672,11324,15611,22518,16879,15071,14074,13036,13449,16217,15161,18855,14039,15522,15072,11224,15068,15460,15108,11840,15532,15841,14530,12046.61538,13858.10714,14758.83074694466,15132.53553354466,15506.24032014466,14919.84682326866,15293.551609868662,15667.256396468661,15080.862899592661,15454.56768619266,15828.27247279266
292,293,MN,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,396,12,14593,12217,14163,15091,12727,19099,11181,12593,13331,16265,11978,15301,13908,12078,15391,15483,12336,13587,14956,11790,13445,15763,13584,13409,11228,14413,14921,15925,11181,13042,14003,15967,15728,12250,12760,15358,14740,14531,13062,13328,16031,13699,15940,12282,17727,14758,17555,16268,19167,19930,23310,20794,16136,12588,15014,13193,14116,17589,16179,12656,15610,15435,14798,15522,13311,17778,17087,16257,14394,19780,12899,16421,15639,17649,16353,13608,13096,14313,13914,15285,14909,14528,14153,18259,15637,18478,12985,16231,14270,15398,14525,18414,17544,17182,14086,17057,14407,16838,20739,19106,21658,21259,19917,23702,14501,14118,16062,19054,18042,22605,18013,14886,17877,17135,16668,17049,16866,15941,14983,13981,13358,14712.52308,16551.67857,17728.444104636983,18102.148891236982,18475.85367783698,17889.46018096098,18263.16496756098,18636.86975416098,18050.47625728498,18424.18104388498,18797.88583048498
293,294,MD,Standalone,1,24,24,7,25,1,14,24,7,21,21,14,14,25,1,9174,10382,9788,10939,9721,16524,13181,11629,13225,10961,13813,12189,9698,11512,11519,13678,12573,11895,11689,14213,13645,9368,13983,11205,13261,11505,12797,10008,11354,10161,12784,12368,13999,11558,14608,12252,12914,13023,13897,13559,13268,13031,12621,10393,14767,15115,20371,10978,12157,15080,20332,17779,10431,10266,12585,15022,14720,13453,10842,11656,14328,12096,11531,16571,13247,12205,13757,11172,10727,13608,11202,10852,12477,14330,14386,13350,14485,12073,14430,10809,13903,14658,12368,16001,10824,15217,12495,11466,15465,13899,15197,13550,13288,16393,11805,14997,14434,17039,16117,15386,12621,19281,24371,20244,11866,12160,12076,12404,13636,14213,11477,16096,12262,11381,16945,17004,12034,12346,14402,12197,14017,12756.8,13882.10714,14795.435939158762,15169.140725758762,15542.845512358761,14956.45201548276,15330.15680208276,15703.86158868276,15117.468091806759,15491.172878406762,15864.877665006761
294,295,MD,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,226,7,14091,17454,12271,16455,14838,15507,14817,17032,14794,16525,15101,20554,17226,19088,18526,13887,14260,17156,18624,14833,14811,14771,18063,16673,16475,15009,16101,18484,12952,16209,18096,19904,19522,18989,19036,17142,14136,15984,17233,17694,15365,19232,16352,16963,17226,22936,21205,20338,20626,26473,24882,20015,13967,16225,13243,17051,17926,21565,15720,15926,20704,21209,15932,15255,18609,14663,21334,17051,14816,17733,17673,17828,19996,15607,15246,19519,16373,22239,21006,15120,18746,14486,16075,19571,20843,20358,20538,20410,17944,15448,23047,19021,19009,16517,22605,17505,22985,19352,23291,20547,21022,33249,33967,19418,18812,16283,20587,23339,20607,24854,22716,17752,17408,21779,22194,17679,18800,17331,22564,19714,18337,17311.81538,19694.89286,21220.347515826943,21594.052302426942,21967.75708902694,21381.36359215094,21755.068378750948,22128.773165350947,21542.379668474947,21916.084455074946,22289.789241674946
295,296,PA,Standalone,1,24,24,7,100,33,14,24,7,21,21,14,14,100,33,5792,5996,5877,5401,6425,6524,5812,5308,6304,4664,5294,5629,5896,6816,5758,5021,4688,7462,5154,5842,5704,5658,6009,4352,5640,6240,4712,4559,5207,5328,6829,6408,7067,6598,5107,6665,6824,5236,4959,5293,6260,7409,7252,5840,5476,5913,8814,7507,7972,7567,8053,6318,4672,6193,5919,7522,5895,8821,6311,6307,5794,7309,5894,7400,6391,5732,7229,6292,5492,6951,4917,7194,6274,6100,5889,6580,6536,7272,5376,7293,6310,5353,7346,7449,5609,7919,6216,5714,6247,6446,6843,8145,6431,7346,7173,7278,7239,7638,9940,6380,7490,11168,8595,9332,7325,6942,6109,8253,6958,9655,8092,5650,5892,6424,6541,6519,7212,7322,8095,6045,7458,6136.415385,6986.1785709999995,7154.485102472003,7528.189889072004,7901.894675672005,7315.501178796005,7689.205965396004,8062.9107519960035,7476.517255120003,7850.222041720004,8223.926828320004
296,297,IL,Standalone,1,24,24,7,46,3,14,24,7,21,21,14,14,46,3,10444,13958,10546,14633,12881,14127,14456,12067,12067,15109,12038,16787,12246,13102,15423,14193,12593,15392,13276,14943,10540,15606,16611,10741,10496,16240,15547,11834,12338,15853,13325,14187,13125,12867,16345,13765,15217,14305,13689,17475,17431,13679,16499,16158,12333,15208,22319,12799,13856,20236,18358,19664,12381,15520,15048,17395,12994,20075,14899,13564,13373,15621,17415,14105,16234,17416,12641,14738,15570,14643,13105,12456,13747,16968,13393,16328,12063,18283,13829,14420,16718,17387,16056,12709,12552,16503,16548,18323,12603,12832,14260,13865,16249,16023,15537,17013,17533,16042,20792,16409,20949,21924,28968,20917,13316,17825,13677,14279,16658,16947,19106,18508,14787,13170,17895,14087,15649,13286,13616,15691,14828,14577.707690000001,15922.08929,17055.03952039352,17428.744306993518,17802.449093593517,17216.055596717517,17589.760383317516,17963.465169917516,17377.071673041515,17750.776459641515,18124.481246241514
297,298,OR,Standalone,1,24,24,7,217,76,12,24,7,21,19,14,12,217,76,9084,9112,10633,12517,10251,13139,9231,10288,9278,10800,11299,11464,12001,11080,11729,8943,12121,11724,8173,12206,9171,10798,12289,11743,9532,11044,10116,9315,8539,10482,10160,12729,10640,13403,9053,10428,11044,11698,12231,12745,12128,10034,11329,10119,12254,15110,13935,10461,10702,16383,19657,14062,10460,12037,9776,10363,12136,11582,12021,13371,12164,9950,9896,13222,12271,9785,12592,12025,12606,14217,8903,12019,10312,8915,10144,11571,10794,12458,12796,10840,11619,11402,10044,10303,13009,10648,10728,10012,9423,11647,13980,12741,14067,10602,14016,9957,9900,14678,14287,9986,14385,14661,18710,15338,9449,9652,12028,9814,12930,11973,10684,11266,12966,11648,13929,13675,9711,11350,11801,9915,10568,11348.55385,11776.41071,12457.840442564388,12831.545229164387,13205.25001576439,12618.85651888839,12992.561305488389,13366.266092088388,12779.872595212388,13153.57738181239,13527.28216841239
298,299,NY,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,90,49,6000,7904,6231,6231,5595,9394,6486,6869,7410,6252,8376,8016,7814,8118,7932,5817,7356,7627,7048,6295,7047,8207,8032,6076,6554,8571,7172,6621,7469,7604,8025,6334,6907,7935,7490,6290,6693,6179,8325,7925,8520,6244,9199,7589,7548,8884,10658,8128,9515,12229,12273,10949,6933,7066,6568,7590,8395,10901,6576,6740,7997,8131,7809,6744,9259,7514,6544,7810,7272,8093,6980,7883,7811,8138,8382,8150,8568,9414,6282,9132,8038,7941,7923,8900,7752,7936,9507,8308,7402,7962,8600,7689,7281,9082,7063,9649,9743,9781,9554,7870,10018,13764,11042,10301,7712,7684,8082,10016,8324,12280,7364,9846,7112,8401,9424,8296,8726,7547,7920,8568,8347,7702.646154000001,8513.0,8749.155199414601,9122.8599860146,9496.564772614603,8910.171275738601,9283.876062338602,9657.580848938602,9071.187352062601,9444.8921386626,9818.5969252626
299,300,NM,Standalone,1,24,24,7,12,13,14,24,7,21,21,14,14,12,13,13493,17685,15474,13571,17839,15879,15584,17692,18892,17067,17361,15367,14304,13471,13220,15981,13590,20121,18574,13842,16747,15371,14313,12660,13196,16890,15785,17065,15822,14991,18239,14486,16349,14431,13841,15862,19123,18271,18548,20505,20053,18350,16698,16438,21168,19796,25406,18929,21131,25448,26980,19377,18511,19090,13577,20794,17663,23349,20787,18081,19654,20163,21700,22341,18566,19919,15677,15622,19523,17654,18296,16166,16724,15596,20519,17355,19768,20782,14541,20168,16449,17435,15865,21323,20079,18904,22641,16293,20931,14905,19696,17700,18886,15712,17569,22522,20171,17992,26273,16871,23638,24221,29010,22108,16002,18062,20473,15975,19199,19011,19253,18606,21689,18121,21946,17283,19452,20288,17055,16196,15921,17623.87692,18929.21429,20385.431009624066,20759.135796224065,21132.840582824065,20546.447085948064,20920.15187254807,21293.85665914807,20707.46316227207,21081.16794887207,21454.87273547207
300,301,NY,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,303,8,7258,8430,7809,8314,8350,9733,7506,8533,9438,9554,10410,8238,9425,8203,8118,9523,7218,10905,9523,7743,9258,9831,10967,8147,7328,9304,7015,7918,7578,8327,7804,8023,10467,10370,8154,8541,9865,9251,9881,7763,10807,10994,9643,8907,11259,10898,10380,10740,8913,14373,14085,10868,9751,9037,9665,10521,9839,11330,10201,7710,9333,9931,10189,9996,10394,9112,9666,8238,10672,10273,10353,11463,8617,11065,8433,7428,8912,10330,10813,8673,7576,11301,9155,11377,9020,11609,8673,8005,10705,11490,11962,11582,11094,9572,9322,10627,11913,11213,13646,8865,12400,17667,15256,12415,8023,9971,9655,10935,9817,11946,9630,9845,9254,9384,8848,12528,10945,12043,10560,10084,12048,9381.338462,10464.44643,10993.536576421373,11367.241363021372,11740.946149621372,11154.552652745371,11528.257439345374,11901.962225945374,11315.568729069373,11689.273515669373,12062.978302269372
