storeid,state,type,associates_poh_pre,open_time_pre,open_time_post,close_time_pre,close_time_post,hours_open_pre,associates_poh_post,hours_open_post,Predicted avg_post,avg_pre,avg_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,change,Desirability
286,NY,Strip Mall,24,7,7,21,20,14,26,13,362554.60209,299308.6154,366735.5357,60,2,187920,259060,221420,250740,255340,296560,281200,305440,320920,328780,351500,232940,241560,295610,291130,214490,224770,383690,284070,280570,239290,303630,252510,297970,273690,338250,223610,227950,338530,265810,280690,287290,310110,246330,345230,352110,293930,288650,335190,328130,248090,344150,311230,247110,277330,302850,343090,335790,389350,410810,572930,322930,260110,232370,218130,384870,341390,395150,342710,307790,262290,264290,291830,380430,331430,280110,358330,304550,317390,330930,299990,361570,270790,246870,346390,347630,332270,409730,324810,265270,363730,357830,304330,375130,332570,264210,312290,249110,273730,374890,346150,294950,348960,430680,441900,405880,328520,346360,524640,312260,447620,616000,621400,539180,400720,314100,413280,438260,434660,446760,322280,448620,328940,330540,346360,446420,425020,327400,366820,377520,360540,54050,0.727090016
287,LA,Standalone,24,7,7,21,21,14,24,14,76086.549664,27079.69231,60842.14286,12,68,2980,10600,19540,34760,22640,20700,30320,30540,28740,12140,31220,32920,28340,32860,29800,19120,14360,26760,32060,33400,31540,10820,26300,11460,19260,18900,7640,19880,17520,19840,30080,26840,30580,31140,24160,12140,37160,23420,27780,15340,17120,20000,35800,19700,36100,46080,48760,19560,35100,48900,59560,52920,30880,29940,30680,14180,24620,34780,14680,39480,32400,22160,30480,38420,42280,30300,28940,43740,17020,30140,36560,16240,39560,31020,19360,26600,20800,29540,36260,27940,19000,34900,34260,36180,43740,46240,31720,40180,15740,42700,28940,27560,89980,97160,68860,85940,86760,104160,113420,94000,86600,113520,145180,102760,65840,66960,80060,87020,78340,92880,68780,75580,83820,73340,78560,102340,85840,79020,85140,82980,97140,4520,0.136794161
288,VA,Strip Mall,24,7,7,21,21,14,24,14,94480.825522,52287.69231,87193.92857,49,58,36560,54560,34900,47620,29840,54420,58960,26120,34560,34460,65580,66320,38380,27080,30640,50280,45500,50040,46900,46900,40600,33460,42220,28620,49640,64200,54480,44040,37980,49240,48500,63420,29620,60660,64120,64620,37120,53240,64520,65360,56580,47960,67060,67800,62660,79280,104340,47940,67720,69520,80900,78500,42960,59320,37640,63700,35760,86360,39780,34180,50760,51600,63520,65120,62460,65720,60220,66280,44400,53100,30940,50080,53000,45520,72560,51960,46140,54660,51760,71880,41480,68900,63760,40640,43520,43720,72660,62720,55740,57700,65960,66780,123300,122860,100480,123160,110160,126800,150400,105520,107960,141540,145320,145480,102360,118200,112580,97300,87600,137620,96440,126940,99200,91900,128800,119380,129920,109300,111340,104180,105020,-11300,0.124403826
289,OH,Strip Mall,24,7,7,21,21,14,24,14,171422.26793,127463.3846,178918.5714,22,35,113380,114620,116060,98740,113000,119280,94200,139640,123900,143620,130480,130860,101840,93380,94580,125620,112820,112260,133900,88380,131240,102880,127180,98820,106620,162920,91860,84940,123160,123440,99920,91320,110980,144600,95900,139760,100620,127900,130500,114080,158720,130460,112080,98160,160800,179800,212800,136280,162380,204160,215520,195340,106140,148400,123960,119660,95920,174420,144180,152980,96760,163600,118940,108600,155860,163340,160740,151480,160600,186760,130220,109440,97280,116480,158900,102620,122300,160840,167360,148500,138520,138420,125280,120660,114600,168400,110440,112980,165420,141600,138760,142560,164120,224340,185280,218900,235600,222980,280300,200460,239480,242760,346120,199800,193900,218080,207860,165120,209540,195380,210780,204300,189420,225920,232240,224580,209120,173180,200020,228760,216600,-8460,0.26599685
290,OH,Strip Mall,24,7,7,21,21,14,24,14,212543.75119,162270.7692,216000.7143,225,21,156660,111280,124360,122500,101980,169940,123680,170820,157480,148100,115760,181420,141220,179660,161620,175260,148780,210140,133920,156640,179640,178220,159040,121140,149840,198400,127480,154460,181360,115140,169240,118380,155760,185720,135480,128620,164900,152460,193780,164860,130280,202780,129560,195340,193120,166100,265580,150600,203700,318320,275440,200980,123900,121060,154860,142480,131320,238960,132620,138040,170620,130780,209160,164720,132140,205200,175180,195080,194880,189260,140000,162280,126880,167840,160900,149600,162560,198120,171100,196200,133360,179780,206400,205440,173920,165200,210100,219680,156740,141900,231480,210360,272100,227580,241060,217560,210640,212280,332360,272540,214620,319100,321360,268440,177600,241640,242280,222500,250020,296640,280120,253880,244220,278280,255220,300340,201920,216240,238160,266800,191100,38440,0.453999508
291,TX,Strip Mall,24,7,7,21,21,14,24,14,199071.60398,150731.3846,202548.2143,112,21,152400,100520,152940,156280,100860,129720,117760,119360,143520,156520,165540,114580,143420,101280,101680,127620,175080,177760,114680,121060,126360,142420,125040,159900,153200,139900,105060,150840,109320,126880,122000,163540,162760,134580,184920,125200,162400,144560,114940,177480,162240,170140,170940,194660,161380,200360,265160,161140,159460,246640,293840,250620,112480,145560,112240,128380,110560,178540,161080,125680,117720,167600,200020,170180,127040,179040,149860,196240,148660,160020,150920,196540,116360,162400,146280,148700,182500,192660,124380,144440,157860,145480,121880,170580,203060,133380,148840,177280,135820,140020,148180,193260,183080,264740,187100,227620,269000,242900,284560,237380,239920,340540,343520,264200,179260,234200,241440,262940,221300,275040,183540,208300,251720,248180,268920,222340,243360,238140,228500,256740,219580,-42140,0.282904573
292,TX,Strip Mall,24,7,7,21,21,14,24,14,248596.71474,192912.3077,254009.6429,45,5,154500,173560,153040,171860,172720,213380,184640,164420,176880,193320,177120,178620,142200,174880,209640,135700,159360,223760,174360,165620,135280,180200,194480,194700,137480,235620,150340,216880,199160,153580,196600,153820,204660,214320,234680,157160,224640,143080,182580,175700,228460,150500,158620,233380,197180,258480,242100,240720,195920,308700,335260,233080,209560,223680,166280,193200,169560,301580,222560,178540,183940,165220,218460,174280,165500,220480,178900,191480,159280,275260,169820,243200,218500,152320,165200,186560,152740,233120,192860,170860,241760,173900,219200,220240,254360,261540,210720,215940,188680,245440,182400,193620,276480,321320,309700,294120,253220,269260,353440,226480,312220,450360,337580,301420,281480,260720,268980,324340,303220,377100,280780,310440,301440,224480,301360,309200,302160,236800,310640,316820,290600,32680,0.443309948
293,MN,Strip Mall,24,7,7,21,21,14,24,14,307845.85737,246230.4615,307881.0714,396,12,243840,196320,235240,253800,206520,333960,175600,203840,218600,277280,191540,258000,230140,193540,259800,261640,198700,223720,251100,187780,220880,267240,223660,220160,176540,240240,250400,270480,175600,212820,232040,271320,266540,196980,207180,259140,246780,242600,213220,218540,272600,225960,270780,197620,306520,247140,303080,277340,335320,350580,418180,367860,274700,203740,252260,215840,234300,303760,275560,205100,264180,260680,247940,262420,218200,307540,293720,277120,239860,347580,209960,280400,264760,304960,279040,224140,213900,238240,230260,257680,250160,242540,235040,317160,264720,321540,211680,276600,237380,259940,242480,320260,350880,343640,281720,341140,288140,336760,414780,382120,433160,425180,398340,474040,290020,282360,321240,381080,360840,452100,360260,297720,357540,342700,333360,340980,337320,318820,299660,279620,267160,-36600,0.485295267
294,MD,Standalone,24,7,7,21,21,14,24,14,261436.11393,207116,254489.6429,25,1,135460,159620,147740,170760,146400,282460,215600,184560,216480,171200,228240,195760,145940,182220,182360,225540,203440,189880,185760,236240,224880,139340,231640,176080,217200,182080,207920,152140,179060,155200,207660,199340,231960,183140,244140,197020,210260,212440,229920,223160,217340,212600,204400,159840,247320,254280,359400,171540,195120,253580,358620,307560,160600,157300,203680,252420,246380,221040,168820,185100,238540,193900,182600,283400,216920,196080,227120,175420,166520,224140,176020,169020,201520,238580,239700,218980,241680,193440,240580,168160,230040,245140,199340,272000,168460,256320,201880,181300,261280,229960,255920,222980,265760,327860,236100,299940,288680,340780,322340,307720,252420,385620,487420,404880,237320,243200,241520,248080,272720,284260,229540,321920,245240,227620,338900,340080,240680,246920,288040,243940,280340,36280,0.459742415
295,MD,Strip Mall,24,7,7,21,21,14,24,14,362212.05008,298216.3077,370745.3571,226,7,233800,301060,197400,281080,248740,262120,248320,292620,247860,282480,254000,363060,296500,333740,322500,229720,237180,295100,324460,248640,248200,247400,313240,285440,281480,252160,274000,321660,211020,276160,313900,350060,342420,331760,332700,294820,234700,271660,296640,305860,259280,336620,279020,291240,296500,410700,376080,358740,364500,481440,449620,352280,231320,276480,216840,293000,310500,383280,266380,270500,366060,376160,270620,257080,324160,245240,378660,293000,248300,306640,305440,308540,351900,264120,256900,342360,279440,396760,372100,254380,326900,241700,273480,343400,368840,359140,362740,360180,310860,260940,412920,332400,380180,330340,452100,350100,459700,387040,465820,410940,420440,664980,679340,388360,376240,325660,411740,466780,412140,497080,454320,355040,348160,435580,443880,353580,376000,346620,451280,394280,366740,37240,0.820396756
296,PA,Standalone,24,7,7,21,21,14,24,14,113129.02278,74708.30769,116571.0714,100,33,67820,71900,69520,60000,80480,82460,68220,58140,78060,45260,57860,64560,69900,88300,67140,52400,45740,101220,55060,68820,66060,65140,72160,39020,64780,76780,46220,43160,56120,58540,88560,80140,93320,83940,54120,85280,88460,56700,51160,57840,77180,100160,97020,68780,61500,70240,128260,102120,111420,103320,113040,78340,45420,75840,70360,102420,69880,128400,78200,78120,67860,98160,69860,99980,79800,66620,96560,77820,61820,91000,50320,95860,77460,73980,69760,83580,82700,97420,59500,97840,78180,59040,98900,100960,64160,110360,76300,66260,76920,80900,88840,114880,128620,146920,143460,145560,144780,152760,198800,127600,149800,223360,171900,186640,146500,138840,122180,165060,139160,193100,161840,113000,117840,128480,130820,130380,144240,146440,161900,120900,149160,18400,0.255140062
297,IL,Standalone,24,7,7,21,21,14,24,14,304878.86354,243534.1538,295289.2857,46,3,160860,231140,162900,244640,209600,234520,241100,193320,193320,254160,192740,287720,196900,214020,260440,235840,203840,259820,217500,250840,162780,264100,284200,166800,161900,276780,262920,188660,198740,269040,218480,235720,214480,209320,278880,227280,256320,238080,225760,301480,300600,225560,281960,275140,198640,256140,398360,207960,229100,356700,319140,345260,199600,262380,252940,299880,211860,353480,249960,223260,219440,264400,300280,234080,276660,300300,204800,246740,263380,244840,214080,201100,226920,291340,219840,278540,193240,317640,228560,240380,286340,299720,273100,206160,203020,282040,282940,318440,204040,208620,237180,229280,324980,320460,310740,340260,350660,320840,415840,328180,418980,438480,579360,418340,266320,356500,273540,285580,333160,338940,382120,370160,295740,263400,357900,281740,312980,265720,272320,313820,296560,17120,0.532253501
298,OR,Standalone,24,7,7,21,19,14,24,12,222526.37494,184439.0769,215683.2143,217,76,133660,134220,164640,202320,157000,214760,136600,157740,137540,167980,177960,181260,192000,180440,193420,137700,201260,193320,122300,202960,142260,174800,204620,193700,149480,179720,161160,145140,129620,168480,162040,213420,171640,226900,139900,167400,179720,192800,203460,213740,201400,159520,185420,161220,203920,261040,237540,168060,172880,286500,351980,240080,168040,199580,154360,166100,201560,190480,199260,226260,202120,157840,156760,223280,204260,154540,210680,199340,210960,243180,136900,199220,165080,137140,161720,190260,174720,208000,214760,175640,191220,186880,159720,164900,219020,171800,173400,159080,147300,191780,238440,213660,281340,212040,280320,199140,198000,293560,285740,199720,287700,293220,374200,306760,188980,193040,240560,196280,258600,239460,213680,225320,259320,232960,278580,273500,194220,227000,236020,198300,211360,-11560,0.455747952
299,NY,Strip Mall,24,7,7,21,21,14,24,14,147426.48685,106032.9231,147107.5,90,49,71980,110060,76600,76600,63880,139860,81700,89360,100180,77020,119500,112300,108260,114340,110620,68320,99100,104520,92940,77880,92920,116120,112620,73500,83060,123400,95420,84400,101360,104060,112480,78660,90120,110680,101780,77780,85840,75560,118480,110480,122380,76860,135960,103760,102940,129660,165140,114540,142280,196560,197440,170960,90640,93300,83340,103780,119880,170000,83500,86780,111920,114600,108160,86860,137160,102260,82860,108180,97420,113840,91580,109640,108200,114740,119620,114980,123340,140260,77620,134620,112740,110800,110440,129980,107020,110700,142120,118140,100020,111220,123980,105760,145620,181640,141260,192980,194860,195620,191080,157400,200360,275280,220840,206020,154240,153680,161640,200320,166480,245600,147280,196920,142240,168020,188480,165920,174520,150940,158400,171360,166940,6080,0.310940475
300,NM,Standalone,24,7,7,21,21,14,24,14,372255.88056,304457.5385,355431.7857,12,13,221840,305680,261460,223400,308760,269560,263660,305820,329820,293320,299200,259320,238060,221400,216380,271600,223780,354400,323460,228820,286920,259400,238240,205180,215900,289780,267680,293280,268420,251800,316760,241700,278960,240600,228800,269220,334440,317400,322940,362080,353040,318980,285940,280740,375340,347900,460100,330560,374600,460940,491580,339520,322200,333780,223520,367860,305240,418960,367720,313600,345060,355240,385980,398800,323300,350360,265520,264420,342440,305060,317900,275300,286460,263900,362360,299080,347340,367620,242800,355340,280960,300680,269280,378440,353560,330060,404800,277840,370600,250080,345900,305980,377720,314240,351380,450440,403420,359840,525460,337420,472760,484420,580200,442160,320040,361240,409460,319500,383980,380220,385060,372120,433780,362420,438920,345660,389040,405760,341100,323920,318420,-16660,0.549412841
301,NY,Strip Mall,24,7,7,21,21,14,24,14,189005.88838,139606.7692,186136.4286,303,8,97140,120580,108160,118260,118980,146640,102100,122640,140740,143060,160180,116740,140480,116040,114340,142440,96340,170080,142440,106840,137140,148600,171320,114920,98540,138060,92280,110340,103540,118520,108060,112440,161320,159380,115060,122800,149280,137000,149600,107240,168120,171860,144840,130120,177160,169940,159580,166780,130240,239440,233680,169340,147000,132720,145280,162400,148760,178580,156000,106180,138640,150600,155760,151900,159860,134220,145300,116740,165420,157440,159040,181240,124320,173280,120640,100540,130220,158580,168240,125440,103500,178000,135080,179520,132380,184160,125440,112080,166080,181780,191220,183620,221880,191440,186440,212540,238260,224260,272920,177300,248000,353340,305120,248300,160460,199420,193100,218700,196340,238920,192600,196900,185080,187680,176960,250560,218900,240860,211200,201680,240960,-24440,0.314599238
302,DE,Strip Mall,24,7,7,21,21,14,28,14,141135.56328,95197.23077,145921.7857,270,55,55520,103120,79220,104780,66740,120260,95120,70260,96740,84680,90980,85820,71560,102040,59580,74120,103800,83840,67720,94060,66040,94320,86060,79200,56580,102400,105200,75840,83020,112320,88920,109840,82080,71940,90460,64140,84820,90760,75280,97140,75920,116140,83600,99400,119300,116760,125900,80440,102920,170080,154720,162060,108500,97400,111000,91380,109740,118760,90320,74580,109700,108600,109060,103100,122120,105920,94540,96220,117480,156760,94700,113940,116520,120920,141100,75300,68000,91560,105220,99700,128160,95180,105580,96140,137120,129740,133720,94320,133040,98680,102900,123260,171680,183360,188720,185160,189900,205560,232760,169800,159080,231180,230320,205960,144880,154140,126760,167940,176280,223660,141540,183940,193460,176480,155180,160700,142820,142420,190000,156860,205360,30480,0.284532944
303,NV,Standalone,24,7,7,21,21,14,24,14,402444.46741,331545.2308,409698.2143,5,0,306480,259000,295380,276020,320400,325420,256920,338180,274420,252480,368280,295860,295820,336460,285220,280940,329700,386280,248300,382260,239080,358360,255680,311460,255620,404160,243240,318320,270520,307940,277000,264840,331780,271880,371480,321620,343380,347920,296580,305860,297800,395920,394460,343940,387080,344700,541480,307400,423800,400280,507040,466440,332980,367000,327980,385880,371440,359220,262280,346220,295500,380440,374600,427320,298700,388900,356040,421440,390420,441160,326340,314780,377780,383420,310560,369040,389720,461180,414800,319660,360700,269300,434100,377640,280200,301680,407020,428160,400620,283700,382300,303800,372580,404480,389140,377180,397140,426040,618120,417100,540160,488900,767100,498300,409180,411740,454740,514340,473860,451580,476300,343080,479140,348680,363920,381320,368160,490080,474200,509180,402900,40640,0.827064752
304,DE,Strip Mall,24,7,7,21,21,14,24,14,237107.38258,185194.4615,240600,73,40,121900,183780,132080,141960,129640,195920,159680,126900,197780,141100,189680,221940,193840,198200,192880,173140,200700,164060,151020,184600,143860,148220,137680,151340,180520,239700,203100,183300,182780,179360,199120,203200,195540,230840,232640,147140,225300,156360,144340,221100,180680,186040,198720,175120,153680,194220,230100,152640,174500,332420,296900,249640,146380,181920,140660,203760,218940,245120,164280,201840,166380,171400,160120,208920,197020,193700,172360,146560,170280,182180,153060,184360,183200,202120,176200,209920,212740,254820,190200,237020,202100,186460,198940,207100,188840,261160,249660,194880,153740,234400,187480,224000,240240,291100,261060,266580,303880,236700,310300,285700,248300,345060,333960,344680,284900,287920,223400,271880,223780,328340,273120,281880,260620,247860,222720,320960,290000,314860,277620,286480,252220,4360,0.495893383
305,OH,Standalone,24,7,7,21,21,14,24,14,199902.74038,149876.3077,204816.0714,337,8,105500,134260,108240,150200,163940,138440,139960,108480,112140,115580,161620,178740,123820,160800,130700,128880,118500,147360,167740,138600,101780,160840,135600,154400,124160,173540,152860,153700,169560,106980,120880,139960,135920,174300,166900,108740,149780,183900,119100,130760,158360,136780,142060,150620,202840,212220,255660,118760,145360,245180,213460,214540,152080,148420,103040,170300,119840,188600,191320,138080,139520,122220,180120,136720,158700,123640,188900,187520,182380,151900,122120,174280,138560,189740,142500,162420,160020,193660,182600,183800,134640,163660,124800,189240,164700,130980,134900,203300,201420,150860,210480,145040,247840,254620,190880,251800,215920,275700,239060,183580,256640,368020,318660,305960,214300,190380,225140,234440,246000,253520,261260,254240,262000,185760,232560,204940,197540,249540,234700,254500,222140,36980,0.412060288
306,ID,Standalone,24,7,7,21,21,14,24,14,365763.34381,297437.2308,363423.2143,216,5,264700,256660,198440,333460,247540,345640,287240,206280,315240,280580,321700,355320,241460,212720,228220,330280,326540,261900,252200,279580,310960,229080,264480,288940,271040,333520,233240,302160,290600,256740,323380,221660,254480,306000,264940,338440,300880,239500,232360,262340,285820,359500,264180,262520,340900,288780,382360,298060,398060,421200,373700,359980,327020,329800,294660,255980,333740,416240,363660,332260,340760,322160,346840,290920,273880,270960,266020,267160,262120,330000,302780,354340,299240,359100,319200,219800,325440,291500,230360,286260,353440,272240,362260,384560,329460,322680,364440,352780,246740,329460,353500,357580,311940,340000,444940,433960,345280,494840,415800,447120,462380,630800,536160,518400,415820,348820,345420,447580,368460,424660,391400,429140,380540,336860,344000,440840,443820,417980,318860,336420,366040,-28740,0.529243361
307,MS,Strip Mall,24,7,7,21,21,14,24,14,348060.70577,285664.9231,341840.3571,139,57,188720,232620,226920,215600,238220,267340,294220,243040,254320,220240,206480,293220,308400,281900,209580,301660,241280,276720,303340,291200,221460,294460,309100,248220,297140,259040,303440,255100,290700,224680,292800,327040,256520,332940,256860,304600,241740,274440,303500,296240,270640,219040,333700,338520,353620,315100,460640,275260,354660,448920,510260,346700,242600,255760,237940,317040,237680,403760,339960,295380,221680,308140,236560,311560,248060,337280,305100,303260,303200,384720,277680,320020,235480,282200,280940,225560,321420,289500,246900,251780,259560,290820,237300,342620,356120,360740,381340,348340,283040,316940,345920,263500,336100,296860,300000,426260,358340,356220,559820,357300,398780,499540,594040,378580,294180,348280,279840,401940,324880,501820,304260,404820,428320,301640,376700,455700,344960,336280,336060,306460,383800,-26500,0.693739413
308,IL,Standalone,24,7,7,21,20,14,26,13,294789.82794,240719.3846,302627.3214,32,6,236700,235360,150140,199860,165520,303260,191640,235000,258020,231440,184160,258860,248620,257310,207930,254930,183850,212270,213730,196990,187830,206570,191990,160390,228290,192430,183530,178730,247410,211290,229110,233530,224950,244790,230830,273650,228430,188790,224670,195790,219150,240510,260750,214310,305510,284690,281950,302170,268990,376670,458050,342630,214850,266170,221150,295070,280430,314130,249830,286230,303710,268130,228570,255230,219290,279070,261230,268290,244810,313050,212430,225410,227170,238150,305270,266810,249410,323090,251510,213210,228730,293390,215550,207710,316110,315830,209610,317110,208430,308030,286610,228190,309040,329740,310400,366000,370180,322040,482600,374620,338700,428480,457220,461820,289440,278820,254860,269680,340760,357960,319820,280160,340260,294820,386680,278400,363300,383280,297720,280260,365860,8690,0.634412476
309,MA,Standalone,24,7,7,21,21,14,24,14,132133.91487,91819.07692,131240.7143,16,13,65800,72320,79520,70540,97300,115980,58360,59560,64800,69280,71240,83040,86600,71900,81000,59380,80220,123000,61260,88620,72860,88620,90720,98860,53400,87500,59200,94020,60760,90780,77120,72520,111540,117820,98860,89920,106940,68260,118800,65460,110180,74480,68760,107460,120120,83340,172000,80420,79680,185260,178800,141180,99600,78720,75140,98800,64820,127520,106160,119580,121340,108280,121020,83840,78060,87000,74940,108980,119800,84120,92620,95300,107160,65780,92760,106960,71340,77380,85460,84380,108920,97920,117200,78300,122740,118660,104140,119460,86840,74520,88240,92220,185520,176320,183220,176540,167360,193140,191220,128120,144400,205000,199020,206200,138300,133440,122780,163080,157360,155940,149620,158260,159020,141640,191380,171680,135980,155160,185220,173080,138340,-14700,0.220144141
310,TX,Strip Mall,24,7,7,21,21,14,24,14,221056.42256,171469.8462,232547.8571,45,40,164340,115260,169520,135980,125880,221480,168560,199160,144460,171400,164320,169020,180240,167940,165820,154080,170140,144060,171340,145980,143400,157920,141460,167360,140160,182580,137840,154000,178720,151040,131620,168540,170320,134460,188000,201200,181640,164580,169620,155080,138500,150360,160200,140860,177200,237700,273580,181680,228360,240180,241340,209940,130560,153520,172640,139820,194140,224440,165000,177800,203220,169560,191380,228340,146700,214320,224880,157760,166380,198820,165560,180180,196460,176560,212640,162440,146580,231660,166920,158620,176880,212700,182780,226840,182060,242940,213460,171200,232920,188740,175900,151860,231320,202200,232440,206880,278440,263000,318420,291880,298940,403180,397620,300540,273200,279700,199820,245360,241300,323940,199080,294980,284040,272100,256860,248960,255460,295260,299420,276620,233660,-12300,0.427864377
311,NM,Strip Mall,24,7,7,21,21,14,24,14,134529.75266,93497.23077,133161.7857,26,10,77600,81960,85340,84280,101160,83460,61740,76220,69680,67180,83000,109100,96660,90740,107540,84740,81620,92700,84280,85240,55200,73260,103240,57160,61460,110220,90860,80300,98900,93940,79060,66420,70640,110820,98780,72720,111740,72680,123160,102300,101700,111360,90280,117540,83800,137440,169820,106260,94980,148040,157160,129240,67240,61860,78360,85900,88020,147180,91100,88520,76760,100940,103320,92420,110980,99020,70680,86260,80820,86180,112160,105980,117100,100480,101600,69160,69460,86060,101880,68880,117900,94860,98240,95140,83640,102760,108720,113800,117180,132800,79140,88480,188160,179580,157440,142800,194980,184960,228560,156920,195500,213240,191000,193300,145600,133720,142580,172320,126680,219300,133600,138320,143620,142780,137320,152240,167540,161320,184340,187660,153300,-5920,0.260353416
312,NY,Standalone,24,7,7,21,19,14,22,12,122644.75682,95220,133115,16,0,81060,95520,84620,75800,69860,106940,69860,101320,72600,58120,88100,98860,93820,95040,62580,66500,87380,74660,69900,103260,101400,95060,123200,61060,69140,72780,108500,88120,83940,69040,114940,71460,91540,102180,103520,98100,107340,119420,93420,100580,102720,80300,75500,97940,116120,86020,110300,78820,120180,182440,200020,145080,79040,71440,69420,108520,108880,112540,83540,103000,109840,86560,80840,125620,124080,71300,89680,107300,84020,91020,110660,86020,81900,112680,116980,91980,80000,102960,97920,87100,114260,93200,105540,122700,120100,80700,135500,107620,82160,96860,125760,108980,131080,132180,186380,134760,167760,172980,192780,163980,168100,179380,189320,205680,143920,154800,167160,187680,134980,184620,185020,184580,152900,185860,140500,167500,152060,129900,136320,175900,141460,1220,0.269546976
313,VA,Standalone,24,7,7,21,21,14,24,14,308366.71661,247393.2308,317339.2857,94,36,237760,198880,198360,269200,185100,347100,177320,206340,236680,223340,211660,231740,230380,197060,227400,215220,271880,308620,238280,178220,186220,250040,258520,185480,184340,216340,196040,267240,179820,256260,189860,210180,189120,288560,260660,246320,235360,207700,243920,300100,204240,248460,273880,294020,269540,274740,282920,310400,289800,381340,476660,283940,262540,214580,274940,245460,256600,247940,289540,260160,246780,194400,271520,278060,305480,299700,289040,296340,312460,315720,271820,242600,227180,297860,249480,213260,269860,233740,290540,304540,248880,301580,279280,316820,300660,334440,336380,250120,283160,210320,303100,233600,386400,282420,269240,384480,282220,327660,470480,267540,414800,475300,550500,475580,343300,273180,310380,291800,315680,361260,307080,350220,294540,340200,373020,392040,335240,353600,377840,278000,374520,-33320,0.493296285
314,DC,Standalone,24,7,7,21,21,14,24,14,293888.51169,234592,293593.5714,6,1,177120,225020,175880,228700,177260,253320,187000,181240,239620,236680,269860,184320,199540,199320,216880,176680,266260,244940,176080,261100,193020,254760,190700,224060,240420,201320,209400,237040,182560,186820,239260,224400,193940,190680,199900,252100,238080,278120,234340,249040,278760,278180,185040,239720,266280,245040,269680,272740,228600,413260,441500,359660,210900,239840,163800,244780,201080,333640,239420,264280,243580,234480,249480,215460,232500,235280,203180,249760,296620,282600,193540,253560,227600,248740,225940,223880,264960,300340,280360,257780,218780,190220,302400,289000,279200,239300,266600,291020,297620,234720,301960,259480,322560,320220,371280,319620,354160,327160,430960,373080,393880,405400,381320,325180,295200,239320,245400,315120,268080,361780,251480,318540,253660,251720,343100,343520,371560,254220,358980,369980,360320,-220,0.498447753
315,TX,Strip Mall,24,7,7,21,21,14,24,14,231728.59158,178435.0769,229451.0714,289,7,136500,165680,119120,145740,120660,232300,187860,188920,166500,195280,151200,155320,121080,164740,153680,149680,176920,163300,123540,142500,170980,188620,191220,134280,174180,157040,153980,151240,164400,160460,197900,194040,184080,217280,195840,141140,172240,195580,144800,161720,170100,191040,215500,174560,145940,199420,278580,207880,163380,223040,331660,249100,195780,201820,160040,162880,140160,220940,224280,216960,154240,201160,190920,178960,188400,141120,180680,161720,149620,256180,199880,181560,213700,137720,230080,207560,159860,199340,139960,161360,151640,222380,222680,158520,219820,211640,207760,236840,235600,144920,241340,195160,290600,275220,257400,277000,258240,270660,300480,240120,229460,352660,365180,294480,263340,264120,236960,266720,284720,247540,234320,287000,202840,214540,245880,277020,266520,283460,206460,273780,213900,43660,0.420770814
