storeid,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post
281,276060,276380,217860,314320,218860,333580,240680,297340,261600,247960,234540,323500,259500,272160,314380,292620,311440,338020,311620,314280,242700,218960,280960,311560,311940,335340,312260,321240,272420,272520,227780,262060,289680,275540,339000,269420,341560,345500,298160,246040,294680,347120,345140,262660,327320,296240,404220,281740,288480,363280,518820,441000,268520,339760,223520,293940,285760,404460,342160,272900,284460,292820,313340,286760,310900,247500,257740,311660,248780,291420,315380,301020,291100,243660,318840,312840,275980,281020,286420,303000,239120,309700,330760,271000,309540,319560,291120,289900,328240,303460,337440,286700,275260,274040,315580,340800,323240,327720,443640,307960,407160,470700,542400,377540,323900,347580,248160,356000,285260,329620,254960,305060,279020,255920,279680,394160,370200,364260,256540,295860,266740,265420,297650
282,61240,83440,69280,78020,75200,85120,75860,97420,69980,71640,80800,94380,79160,68980,76000,97520,96120,111500,73140,90820,76440,81560,87780,90020,92860,110700,87280,70000,88240,70120,87420,91860,96180,79560,76660,96460,72880,92580,89740,89580,88660,76340,98760,103600,91460,99140,119920,89800,105040,123720,117260,113480,85740,70680,96060,84980,72900,126700,89620,107380,91480,95600,99380,106340,102960,106560,88400,86980,92980,100740,87560,85840,94020,73860,93280,100660,90960,99720,107400,96420,97360,75980,95480,109640,105340,105460,117560,100780,113520,112280,89380,102820,89200,99920,120060,101900,104200,131180,134560,119920,125880,171760,176380,108360,82340,101140,101080,85060,114580,139360,101100,103880,117860,119220,117260,94440,102520,105160,90040,111480,83980,79192,84655
283,241020,285840,298220,317860,295540,349200,245520,302320,326920,255760,361340,330820,345180,234920,274160,344300,256720,364440,310320,237000,270320,234980,272320,314980,249040,269680,330120,328160,316040,235400,295960,362240,329700,316420,298040,285240,364980,302240,308820,328560,264220,375360,336860,272820,331260,376060,449940,306900,331520,469500,501380,344700,268280,331140,335320,359260,277740,367480,342460,331800,302820,352260,373760,363480,327180,338620,270860,271880,374080,376920,273240,278560,290060,336180,329320,330020,323500,317020,380380,370640,289320,269060,298440,387720,318860,347020,280460,335080,323240,337400,392720,411340,409080,316820,373700,413480,384380,400940,538560,355180,450620,467220,602420,510060,294100,328460,302380,410660,302520,354040,368660,315900,372080,404820,424640,415280,339280,347240,312860,364560,341880,324004,277525
284,116160,143360,117500,117480,122940,135560,126720,133600,103600,151420,118980,150980,155240,135480,128340,149000,117200,133240,112460,122540,139860,126480,140840,102500,102640,162500,116520,127140,134300,129280,116860,118620,132540,152200,116800,146220,152580,163200,153000,167460,116300,134660,141880,142680,123280,169140,203980,166360,176860,205980,227400,167480,113040,110220,141140,154240,158080,170620,159060,121280,167800,162100,159020,151720,153840,129280,129340,138520,160720,174240,150360,138780,165140,121080,140540,159920,109940,174900,134420,146460,119040,138240,145520,153220,118600,127200,141580,142820,160500,142400,180680,160760,145020,163960,186100,137820,156580,197860,244540,141220,201800,221560,262800,215520,125320,120940,170340,137340,129180,189340,173780,153960,182000,185900,181340,191020,141940,153840,180060,149820,174160,136044,132505
285,272180,329860,357480,397040,331980,457860,327480,423200,412280,374800,438700,410860,323540,391480,328160,415220,393440,440580,407440,366620,311740,396940,394540,333760,329420,337880,349640,404660,365020,327080,297540,428700,405900,310220,325880,335740,391980,377160,439420,417220,354800,323960,383180,332700,478080,395200,502080,372300,437820,659240,534460,485640,338980,326380,370440,461860,309360,515900,344820,463040,455840,376120,378280,474600,440720,378960,333700,365560,451800,485820,421720,333520,456000,366540,407560,426440,317480,509480,376580,450440,393180,414720,422780,338020,437020,341180,452480,466360,404640,487160,474600,507520,421020,395600,462740,392040,414940,421940,484440,442560,429980,603820,683340,630280,378880,361500,415680,462660,423380,549000,465820,462060,501580,460060,414860,522840,433060,501460,456020,396740,372000,392036,382075
286,235940,307080,269440,298760,303360,344580,329220,353460,368940,376800,399520,280960,289580,342020,337540,260900,271180,430100,330480,326980,285700,350040,298920,344380,320100,384660,270020,274360,384940,312220,327100,333700,356520,292740,391640,398520,340340,335060,381600,374540,294500,390560,357640,293520,323740,349260,389500,382200,435760,457220,619340,369340,306520,278780,264540,431280,387800,441560,389120,354200,308700,310700,338240,426840,377840,326520,404740,350960,363800,377340,346400,407980,317200,293280,392800,394040,378680,456140,371220,311680,410140,404240,350740,421540,378980,310620,358700,295520,320140,421300,392560,341360,348960,430680,441900,405880,328520,346360,524640,312260,447620,616000,621400,539180,400720,314100,413280,438260,434660,446760,322280,448620,328940,330540,346360,446420,425020,327400,366820,377520,360540,343160,302910
287,51000,58620,67560,82780,70660,68720,78340,78560,76760,60160,79240,80940,76360,80880,77820,67140,62380,74780,80080,81420,79560,58840,74320,59480,67280,66920,55660,67900,65540,67860,78100,74860,78600,79160,72180,60160,85180,71440,75800,63360,65140,68020,83820,67720,84120,94100,96780,67580,83120,96920,107580,100940,78900,77960,78700,62200,72640,82800,62700,87500,80420,70180,78500,86440,90300,78320,76960,91760,65040,78160,84580,64260,87580,79040,67380,74620,68820,77560,84280,75960,67020,82920,82280,84200,91760,94260,79740,88200,63760,90720,76960,75580,89980,97160,68860,85940,86760,104160,113420,94000,86600,113520,145180,102760,65840,66960,80060,87020,78340,92880,68780,75580,83820,73340,78560,102340,85840,79020,85140,82980,97140,74692,72055
288,84580,102580,82920,95640,77860,102440,106980,74140,82580,82480,113600,114340,86400,75100,78660,98300,93520,98060,94920,94920,88620,81480,90240,76640,97660,112220,102500,92060,86000,97260,96520,111440,77640,108680,112140,112640,85140,101260,112540,113380,104600,95980,115080,115820,110680,127300,152360,95960,115740,117540,128920,126520,90980,107340,85660,111720,83780,134380,87800,82200,98780,99620,111540,113140,110480,113740,108240,114300,92420,101120,78960,98100,101020,93540,120580,99980,94160,102680,99780,119900,89500,116920,111780,88660,91540,91740,120680,110740,103760,105720,113980,114800,123300,122860,100480,123160,110160,126800,150400,105520,107960,141540,145320,145480,102360,118200,112580,97300,87600,137620,96440,126940,99200,91900,128800,119380,129920,109300,111340,104180,105020,95880,86395
289,161400,162640,164080,146760,161020,167300,142220,187660,171920,191640,178500,178880,149860,141400,142600,173640,160840,160280,181920,136400,179260,150900,175200,146840,154640,210940,139880,132960,171180,171460,147940,139340,159000,192620,143920,187780,148640,175920,178520,162100,206740,178480,160100,146180,208820,227820,260820,184300,210400,252180,263540,243360,154160,196420,171980,167680,143940,222440,192200,201000,144780,211620,166960,156620,203880,211360,208760,199500,208620,234780,178240,157460,145300,164500,206920,150640,170320,208860,215380,196520,186540,186440,173300,168680,162620,216420,158460,161000,213440,189620,186780,190580,164120,224340,185280,218900,235600,222980,280300,200460,239480,242760,346120,199800,193900,218080,207860,165120,209540,195380,210780,204300,189420,225920,232240,224580,209120,173180,200020,228760,216600,174160,154620
290,204680,159300,172380,170520,150000,217960,171700,218840,205500,196120,163780,229440,189240,227680,209640,223280,196800,258160,181940,204660,227660,226240,207060,169160,197860,246420,175500,202480,229380,163160,217260,166400,203780,233740,183500,176640,212920,200480,241800,212880,178300,250800,177580,243360,241140,214120,313600,198620,251720,366340,323460,249000,171920,169080,202880,190500,179340,286980,180640,186060,218640,178800,257180,212740,180160,253220,223200,243100,242900,237280,188020,210300,174900,215860,208920,197620,210580,246140,219120,244220,181380,227800,254420,253460,221940,213220,258120,267700,204760,189920,279500,258380,272100,227580,241060,217560,210640,212280,332360,272540,214620,319100,321360,268440,177600,241640,242280,222500,250020,296640,280120,253880,244220,278280,255220,300340,201920,216240,238160,266800,191100,196816,214350
291,200420,148540,200960,204300,148880,177740,165780,167380,191540,204540,213560,162600,191440,149300,149700,175640,223100,225780,162700,169080,174380,190440,173060,207920,201220,187920,153080,198860,157340,174900,170020,211560,210780,182600,232940,173220,210420,192580,162960,225500,210260,218160,218960,242680,209400,248380,313180,209160,207480,294660,341860,298640,160500,193580,160260,176400,158580,226560,209100,173700,165740,215620,248040,218200,175060,227060,197880,244260,196680,208040,198940,244560,164380,210420,194300,196720,230520,240680,172400,192460,205880,193500,169900,218600,251080,181400,196860,225300,183840,188040,196200,241280,183080,264740,187100,227620,269000,242900,284560,237380,239920,340540,343520,264200,179260,234200,241440,262940,221300,275040,183540,208300,251720,248180,268920,222340,243360,238140,228500,256740,219580,192736,174435
292,202520,221580,201060,219880,220740,261400,232660,212440,224900,241340,225140,226640,190220,222900,257660,183720,207380,271780,222380,213640,183300,228220,242500,242720,185500,283640,198360,264900,247180,201600,244620,201840,252680,262340,282700,205180,272660,191100,230600,223720,276480,198520,206640,281400,245200,306500,290120,288740,243940,356720,383280,281100,257580,271700,214300,241220,217580,349600,270580,226560,231960,213240,266480,222300,213520,268500,226920,239500,207300,323280,217840,291220,266520,200340,213220,234580,200760,281140,240880,218880,289780,221920,267220,268260,302380,309560,258740,263960,236700,293460,230420,241640,276480,321320,309700,294120,253220,269260,353440,226480,312220,450360,337580,301420,281480,260720,268980,324340,303220,377100,280780,310440,301440,224480,301360,309200,302160,236800,310640,316820,290600,221648,217915
293,291860,244340,283260,301820,254540,381980,223620,251860,266620,325300,239560,306020,278160,241560,307820,309660,246720,271740,299120,235800,268900,315260,271680,268180,224560,288260,298420,318500,223620,260840,280060,319340,314560,245000,255200,307160,294800,290620,261240,266560,320620,273980,318800,245640,354540,295160,351100,325360,383340,398600,466200,415880,322720,251760,300280,263860,282320,351780,323580,253120,312200,308700,295960,310440,266220,355560,341740,325140,287880,395600,257980,328420,312780,352980,327060,272160,261920,286260,278280,305700,298180,290560,283060,365180,312740,369560,259700,324620,285400,307960,290500,368280,350880,343640,281720,341140,288140,336760,414780,382120,433160,425180,398340,474040,290020,282360,321240,381080,360840,452100,360260,297720,357540,342700,333360,340980,337320,318820,299660,279620,267160,283132,276440
294,183480,207640,195760,218780,194420,330480,263620,232580,264500,219220,276260,243780,193960,230240,230380,273560,251460,237900,233780,284260,272900,187360,279660,224100,265220,230100,255940,200160,227080,203220,255680,247360,279980,231160,292160,245040,258280,260460,277940,271180,265360,260620,252420,207860,295340,302300,407420,219560,243140,301600,406640,355580,208620,205320,251700,300440,294400,269060,216840,233120,286560,241920,230620,331420,264940,244100,275140,223440,214540,272160,224040,217040,249540,286600,287720,267000,289700,241460,288600,216180,278060,293160,247360,320020,216480,304340,249900,229320,309300,277980,303940,271000,265760,327860,236100,299940,288680,340780,322340,307720,252420,385620,487420,404880,237320,243200,241520,248080,272720,284260,229540,321920,245240,227620,338900,340080,240680,246920,288040,243940,280340,239544,246410
295,281820,349080,245420,329100,296760,310140,296340,340640,295880,330500,302020,411080,344520,381760,370520,277740,285200,343120,372480,296660,296220,295420,361260,333460,329500,300180,322020,369680,259040,324180,361920,398080,390440,379780,380720,342840,282720,319680,344660,353880,307300,384640,327040,339260,344520,458720,424100,406760,412520,529460,497640,400300,279340,324500,264860,341020,358520,431300,314400,318520,414080,424180,318640,305100,372180,293260,426680,341020,296320,354660,353460,356560,399920,312140,304920,390380,327460,444780,420120,302400,374920,289720,321500,391420,416860,407160,410760,408200,358880,308960,460940,380420,380180,330340,452100,350100,459700,387040,465820,410940,420440,664980,679340,388360,376240,325660,411740,466780,412140,497080,454320,355040,348160,435580,443880,353580,376000,346620,451280,394280,366740,336800,328805
296,115840,119920,117540,108020,128500,130480,116240,106160,126080,93280,105880,112580,117920,136320,115160,100420,93760,149240,103080,116840,114080,113160,120180,87040,112800,124800,94240,91180,104140,106560,136580,128160,141340,131960,102140,133300,136480,104720,99180,105860,125200,148180,145040,116800,109520,118260,176280,150140,159440,151340,161060,126360,93440,123860,118380,150440,117900,176420,126220,126140,115880,146180,117880,148000,127820,114640,144580,125840,109840,139020,98340,143880,125480,122000,117780,131600,130720,145440,107520,145860,126200,107060,146920,148980,112180,158380,124320,114280,124940,128920,136860,162900,128620,146920,143460,145560,144780,152760,198800,127600,149800,223360,171900,186640,146500,138840,122180,165060,139160,193100,161840,113000,117840,128480,130820,130380,144240,146440,161900,120900,149160,111148,111415
297,208880,279160,210920,292660,257620,282540,289120,241340,241340,302180,240760,335740,244920,262040,308460,283860,251860,307840,265520,298860,210800,312120,332220,214820,209920,324800,310940,236680,246760,317060,266500,283740,262500,257340,326900,275300,304340,286100,273780,349500,348620,273580,329980,323160,246660,304160,446380,255980,277120,404720,367160,393280,247620,310400,300960,347900,259880,401500,297980,271280,267460,312420,348300,282100,324680,348320,252820,294760,311400,292860,262100,249120,274940,339360,267860,326560,241260,365660,276580,288400,334360,347740,321120,254180,251040,330060,330960,366460,252060,256640,285200,277300,324980,320460,310740,340260,350660,320840,415840,328180,418980,438480,579360,418340,266320,356500,273540,285580,333160,338940,382120,370160,295740,263400,357900,281740,312980,265720,272320,313820,296560,272988,276555
298,181680,182240,212660,250340,205020,262780,184620,205760,185560,216000,225980,229280,240020,221600,234580,178860,242420,234480,163460,244120,183420,215960,245780,234860,190640,220880,202320,186300,170780,209640,203200,254580,212800,268060,181060,208560,220880,233960,244620,254900,242560,200680,226580,202380,245080,302200,278700,209220,214040,327660,393140,281240,209200,240740,195520,207260,242720,231640,240420,267420,243280,199000,197920,264440,245420,195700,251840,240500,252120,284340,178060,240380,206240,178300,202880,231420,215880,249160,255920,216800,232380,228040,200880,206060,260180,212960,214560,200240,188460,232940,279600,254820,281340,212040,280320,199140,198000,293560,285740,199720,287700,293220,374200,306760,188980,193040,240560,196280,258600,239460,213680,225320,259320,232960,278580,273500,194220,227000,236020,198300,211360,219368,219365
299,120000,158080,124620,124620,111900,187880,129720,137380,148200,125040,167520,160320,156280,162360,158640,116340,147120,152540,140960,125900,140940,164140,160640,121520,131080,171420,143440,132420,149380,152080,160500,126680,138140,158700,149800,125800,133860,123580,166500,158500,170400,124880,183980,151780,150960,177680,213160,162560,190300,244580,245460,218980,138660,141320,131360,151800,167900,218020,131520,134800,159940,162620,156180,134880,185180,150280,130880,156200,145440,161860,139600,157660,156220,162760,167640,163000,171360,188280,125640,182640,160760,158820,158460,178000,155040,158720,190140,166160,148040,159240,172000,153780,145620,181640,141260,192980,194860,195620,191080,157400,200360,275280,220840,206020,154240,153680,161640,200320,166480,245600,147280,196920,142240,168020,188480,165920,174520,150940,158400,171360,166940,151472,146115
300,269860,353700,309480,271420,356780,317580,311680,353840,377840,341340,347220,307340,286080,269420,264400,319620,271800,402420,371480,276840,334940,307420,286260,253200,263920,337800,315700,341300,316440,299820,364780,289720,326980,288620,276820,317240,382460,365420,370960,410100,401060,367000,333960,328760,423360,395920,508120,378580,422620,508960,539600,387540,370220,381800,271540,415880,353260,466980,415740,361620,393080,403260,434000,446820,371320,398380,313540,312440,390460,353080,365920,323320,334480,311920,410380,347100,395360,415640,290820,403360,328980,348700,317300,426460,401580,378080,452820,325860,418620,298100,393920,354000,377720,314240,351380,450440,403420,359840,525460,337420,472760,484420,580200,442160,320040,361240,409460,319500,383980,380220,385060,372120,433780,362420,438920,345660,389040,405760,341100,323920,318420,331964,281310
301,145160,168600,156180,166280,167000,194660,150120,170660,188760,191080,208200,164760,188500,164060,162360,190460,144360,218100,190460,154860,185160,196620,219340,162940,146560,186080,140300,158360,151560,166540,156080,160460,209340,207400,163080,170820,197300,185020,197620,155260,216140,219880,192860,178140,225180,217960,207600,214800,178260,287460,281700,217360,195020,180740,193300,210420,196780,226600,204020,154200,186660,198620,203780,199920,207880,182240,193320,164760,213440,205460,207060,229260,172340,221300,168660,148560,178240,206600,216260,173460,151520,226020,183100,227540,180400,232180,173460,160100,214100,229800,239240,231640,221880,191440,186440,212540,238260,224260,272920,177300,248000,353340,305120,248300,160460,199420,193100,218700,196340,238920,192600,196900,185080,187680,176960,250560,218900,240860,211200,201680,240960,188260,165310
302,103540,151140,127240,152800,114760,168280,143140,118280,144760,132700,139000,133840,119580,153980,111520,126060,155740,135780,119660,146000,117980,146260,138000,131140,108520,154340,157140,127780,134960,164260,140860,161780,134020,123880,142400,116080,136760,142700,127220,149080,127860,168080,135540,151340,171240,168700,177840,132380,154860,222020,206660,214000,160440,149340,162940,143320,161680,170700,142260,126520,161640,160540,161000,155040,174060,157860,146480,148160,169420,208700,146640,165880,168460,172860,193040,127240,119940,143500,157160,151640,180100,147120,157520,148080,189060,181680,185660,146260,184980,150620,154840,175200,171680,183360,188720,185160,189900,205560,232760,169800,159080,231180,230320,205960,144880,154140,126760,167940,176280,223660,141540,183940,193460,176480,155180,160700,142820,142420,190000,156860,205360,133976,136825
303,354500,307020,343400,324040,368420,373440,304940,386200,322440,300500,416300,343880,343840,384480,333240,328960,377720,434300,296320,430280,287100,406380,303700,359480,303640,452180,291260,366340,318540,355960,325020,312860,379800,319900,419500,369640,391400,395940,344600,353880,345820,443940,442480,391960,435100,392720,589500,355420,471820,448300,555060,514460,381000,415020,376000,433900,419460,407240,310300,394240,343520,428460,422620,475340,346720,436920,404060,469460,438440,489180,374360,362800,425800,431440,358580,417060,437740,509200,462820,367680,408720,317320,482120,425660,328220,349700,455040,476180,448640,331720,430320,351820,372580,404480,389140,377180,397140,426040,618120,417100,540160,488900,767100,498300,409180,411740,454740,514340,473860,451580,476300,343080,479140,348680,363920,381320,368160,490080,474200,509180,402900,345392,356100
304,169920,231800,180100,189980,177660,243940,207700,174920,245800,189120,237700,269960,241860,246220,240900,221160,248720,212080,199040,232620,191880,196240,185700,199360,228540,287720,251120,231320,230800,227380,247140,251220,243560,278860,280660,195160,273320,204380,192360,269120,228700,234060,246740,223140,201700,242240,278120,200660,222520,380440,344920,297660,194400,229940,188680,251780,266960,293140,212300,249860,214400,219420,208140,256940,245040,241720,220380,194580,218300,230200,201080,232380,231220,250140,224220,257940,260760,302840,238220,285040,250120,234480,246960,255120,236860,309180,297680,242900,201760,282420,235500,272020,240240,291100,261060,266580,303880,236700,310300,285700,248300,345060,333960,344680,284900,287920,223400,271880,223780,328340,273120,281880,260620,247860,222720,320960,290000,314860,277620,286480,252220,236888,239250
305,153520,182280,156260,198220,211960,186460,187980,156500,160160,163600,209640,226760,171840,208820,178720,176900,166520,195380,215760,186620,149800,208860,183620,202420,172180,221560,200880,201720,217580,155000,168900,187980,183940,222320,214920,156760,197800,231920,167120,178780,206380,184800,190080,198640,250860,260240,303680,166780,193380,293200,261480,262560,200100,196440,151060,218320,167860,236620,239340,186100,187540,170240,228140,184740,206720,171660,236920,235540,230400,199920,170140,222300,186580,237760,190520,210440,208040,241680,230620,231820,182660,211680,172820,237260,212720,179000,182920,251320,249440,198880,258500,193060,247840,254620,190880,251800,215920,275700,239060,183580,256640,368020,318660,305960,214300,190380,225140,234440,246000,253520,261260,254240,262000,185760,232560,204940,197540,249540,234700,254500,222140,186400,182740
306,312720,304680,246460,381480,295560,393660,335260,254300,363260,328600,369720,403340,289480,260740,276240,378300,374560,309920,300220,327600,358980,277100,312500,336960,319060,381540,281260,350180,338620,304760,371400,269680,302500,354020,312960,386460,348900,287520,280380,310360,333840,407520,312200,310540,388920,336800,430380,346080,446080,469220,421720,408000,375040,377820,342680,304000,381760,464260,411680,380280,388780,370180,394860,338940,321900,318980,314040,315180,310140,378020,350800,402360,347260,407120,367220,267820,373460,339520,278380,334280,401460,320260,410280,432580,377480,370700,412460,400800,294760,377480,401520,405600,311940,340000,444940,433960,345280,494840,415800,447120,462380,630800,536160,518400,415820,348820,345420,447580,368460,424660,391400,429140,380540,336860,344000,440840,443820,417980,318860,336420,366040,350880,322460
307,236740,280640,274940,263620,286240,315360,342240,291060,302340,268260,254500,341240,356420,329920,257600,349680,289300,324740,351360,339220,269480,342480,357120,296240,345160,307060,351460,303120,338720,272700,340820,375060,304540,380960,304880,352620,289760,322460,351520,344260,318660,267060,381720,386540,401640,363120,508660,323280,402680,496940,558280,394720,290620,303780,285960,365060,285700,451780,387980,343400,269700,356160,284580,359580,296080,385300,353120,351280,351220,432740,325700,368040,283500,330220,328960,273580,369440,337520,294920,299800,307580,338840,285320,390640,404140,408760,429360,396360,331060,364960,393940,311520,336100,296860,300000,426260,358340,356220,559820,357300,398780,499540,594040,378580,294180,348280,279840,401940,324880,501820,304260,404820,428320,301640,376700,455700,344960,336280,336060,306460,383800,304552,306625
308,284720,283380,198160,247880,213540,351280,239660,283020,306040,279460,232180,306880,296640,303720,254340,301340,230260,258680,260140,243400,234240,252980,238400,206800,274700,238840,229940,225140,293820,257700,275520,279940,271360,291200,277240,320060,274840,235200,271080,242200,265560,286920,307160,260720,351920,331100,328360,348580,315400,423080,504460,389040,261260,312580,267560,341480,326840,360540,296240,332640,350120,314540,274980,301640,265700,325480,307640,314700,291220,359460,258840,271820,273580,284560,351680,313220,295820,369500,297920,259620,275140,339800,261960,254120,362520,362240,256020,363520,254840,354440,333020,274600,309040,329740,310400,366000,370180,322040,482600,374620,338700,428480,457220,461820,289440,278820,254860,269680,340760,357960,319820,280160,340260,294820,386680,278400,363300,383280,297720,280260,365860,284240,272415
309,113820,120340,127540,118560,145320,164000,106380,107580,112820,117300,119260,131060,134620,119920,129020,107400,128240,171020,109280,136640,120880,136640,138740,146880,101420,135520,107220,142040,108780,138800,125140,120540,159560,165840,146880,137940,154960,116280,166820,113480,158200,122500,116780,155480,168140,131360,220020,128440,127700,233280,226820,189200,147620,126740,123160,146820,112840,175540,154180,167600,169360,156300,169040,131860,126080,135020,122960,157000,167820,132140,140640,143320,155180,113800,140780,154980,119360,125400,133480,132400,156940,145940,165220,126320,170760,166680,152160,167480,134860,122540,136260,140240,185520,176320,183220,176540,167360,193140,191220,128120,144400,205000,199020,206200,138300,133440,122780,163080,157360,155940,149620,158260,159020,141640,191380,171680,135980,155160,185220,173080,138340,123012,121145
310,212360,163280,217540,184000,173900,269500,216580,247180,192480,219420,212340,217040,228260,215960,213840,202100,218160,192080,219360,194000,191420,205940,189480,215380,188180,230600,185860,202020,226740,199060,179640,216560,218340,182480,236020,249220,229660,212600,217640,203100,186520,198380,208220,188880,225220,285720,321600,229700,276380,288200,289360,257960,178580,201540,220660,187840,242160,272460,213020,225820,251240,217580,239400,276360,194720,262340,272900,205780,214400,246840,213580,228200,244480,224580,260660,210460,194600,279680,214940,206640,224900,260720,230800,274860,230080,290960,261480,219220,280940,236760,223920,199880,231320,202200,232440,206880,278440,263000,318420,291880,298940,403180,397620,300540,273200,279700,199820,245360,241300,323940,199080,294980,284040,272100,256860,248960,255460,295260,299420,276620,233660,213908,212515
311,125620,129980,133360,132300,149180,131480,109760,124240,117700,115200,131020,157120,144680,138760,155560,132760,129640,140720,132300,133260,103220,121280,151260,105180,109480,158240,138880,128320,146920,141960,127080,114440,118660,158840,146800,120740,159760,120700,171180,150320,149720,159380,138300,165560,131820,185460,217840,154280,143000,196060,205180,177260,115260,109880,126380,133920,136040,195200,139120,136540,124780,148960,151340,140440,159000,147040,118700,134280,128840,134200,160180,154000,165120,148500,149620,117180,117480,134080,149900,116900,165920,142880,146260,143160,131660,150780,156740,161820,165200,180820,127160,136500,188160,179580,157440,142800,194980,184960,228560,156920,195500,213240,191000,193300,145600,133720,142580,172320,126680,219300,133600,138320,143620,142780,137320,152240,167540,161320,184340,187660,153300,133144,139180
312,129080,143540,132640,123820,117880,154960,117880,149340,120620,106140,136120,146880,141840,139560,107100,111020,131900,119180,114420,147780,145920,139580,167720,105580,113660,117300,153020,132640,128460,113560,159460,115980,136060,146700,148040,142620,151860,163940,137940,145100,147240,124820,120020,142460,160640,130540,154820,123340,164700,226960,244540,189600,123560,115960,113940,153040,153400,157060,128060,147520,154360,131080,125360,170140,168600,115820,134200,151820,128540,135540,155180,130540,126420,157200,161500,136500,124520,147480,142440,131620,158780,137720,150060,167220,164620,125220,180020,152140,126680,141380,170280,153500,131080,132180,186380,134760,167760,172980,192780,163980,168100,179380,189320,205680,143920,154800,167160,187680,134980,184620,185020,184580,152900,185860,140500,167500,152060,129900,136320,175900,141460,130320,122395
313,285780,246900,246380,317220,233120,395120,225340,254360,284700,271360,259680,279760,278400,245080,275420,263240,319900,356640,286300,226240,234240,298060,306540,233500,232360,264360,244060,315260,227840,304280,237880,258200,237140,336580,308680,294340,283380,255720,291940,348120,252260,296480,321900,342040,317560,322760,330940,358420,337820,429360,524680,331960,310560,262600,322960,293480,304620,295960,337560,308180,294800,242420,319540,326080,353500,347720,337060,344360,360480,363740,319840,290620,275200,345880,297500,261280,317880,281760,338560,352560,296900,349600,327300,364840,348680,382460,384400,298140,331180,258340,351120,281620,386400,282420,269240,384480,282220,327660,470480,267540,414800,475300,550500,475580,343300,273180,310380,291800,315680,361260,307080,350220,294540,340200,373020,392040,335240,353600,377840,278000,374520,274780,275910
314,225140,273040,223900,276720,225280,301340,235020,229260,287640,284700,317880,232340,247560,247340,264900,224700,314280,292960,224100,309120,241040,302780,238720,272080,288440,249340,257420,285060,230580,234840,287280,272420,241960,238700,247920,300120,286100,326140,282360,297060,326780,326200,233060,287740,314300,293060,317700,320760,276620,461280,489520,407680,258920,287860,211820,292800,249100,381660,287440,312300,291600,282500,297500,263480,280520,283300,251200,297780,344640,330620,241560,301580,275620,296760,273960,271900,312980,348360,328380,305800,266800,238240,350420,337020,327220,287320,314620,339040,345640,282740,349980,307500,322560,320220,371280,319620,354160,327160,430960,373080,393880,405400,381320,325180,295200,239320,245400,315120,268080,361780,251480,318540,253660,251720,343100,343520,371560,254220,358980,369980,360320,274024,262805
315,184520,213700,167140,193760,168680,280320,235880,236940,214520,243300,199220,203340,169100,212760,201700,197700,224940,211320,171560,190520,219000,236640,239240,182300,222200,205060,202000,199260,212420,208480,245920,242060,232100,265300,243860,189160,220260,243600,192820,209740,218120,239060,263520,222580,193960,247440,326600,255900,211400,271060,379680,297120,243800,249840,208060,210900,188180,268960,272300,264980,202260,249180,238940,226980,236420,189140,228700,209740,197640,304200,247900,229580,261720,185740,278100,255580,207880,247360,187980,209380,199660,270400,270700,206540,267840,259660,255780,284860,283620,192940,289360,243180,290600,275220,257400,277000,258240,270660,300480,240120,229460,352660,365180,294480,263340,264120,236960,266720,284720,247540,234320,287000,202840,214540,245880,277020,266520,283460,206460,273780,213900,205896,209275
